name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,20/04/2016-18:00,3360818,12121359,3,11
el01gw02,1A_ETH_1,20/04/2016-18:15,2622082,12002315,2,11
el01gw02,1A_ETH_1,20/04/2016-18:30,3486301,12415935,3,11
el01gw02,1A_ETH_1,20/04/2016-18:45,2955838,12420063,2,11
el01gw02,1A_ETH_1,20/04/2016-19:00,4368307,13158083,4,12
el01gw02,1A_ETH_1,20/04/2016-19:15,3451765,12188366,3,11
el01gw02,1A_ETH_1,20/04/2016-19:30,3774853,11682352,3,11
el01gw02,1A_ETH_1,20/04/2016-19:45,2778124,11515248,2,10
el01gw02,1A_ETH_1,20/04/2016-20:00,3739993,10759894,3,10
el01gw02,1A_ETH_1,20/04/2016-20:15,2706954,10306128,2,9
el01gw02,1A_ETH_1,20/04/2016-20:30,3103754,10492379,2,10
el01gw02,1A_ETH_1,20/04/2016-20:45,2349916,10006890,2,9
el01gw02,1A_ETH_1,20/04/2016-21:00,2080814,10929727,1,10
el01gw02,1A_ETH_1,20/04/2016-21:15,1950197,10385784,1,9
el01gw02,1A_ETH_1,20/04/2016-21:30,2098174,10940525,2,10
el01gw02,1A_ETH_1,20/04/2016-21:45,1946366,11050250,1,10
el01gw02,1A_ETH_1,20/04/2016-22:00,1768964,10038842,1,9
el01gw02,1A_ETH_1,20/04/2016-22:15,1222239,9348959,1,8
el01gw02,1A_ETH_1,20/04/2016-22:30,1055150,9313246,1,8
el01gw02,1A_ETH_1,20/04/2016-22:45,962810,9173335,0,8
el01gw02,1A_ETH_1,20/04/2016-23:00,1807546,9762893,1,9
el01gw02,1A_ETH_1,20/04/2016-23:15,3769578,10125948,3,9
el01gw02,1A_ETH_1,20/04/2016-23:30,3770131,10195128,3,9
el01gw02,1A_ETH_1,20/04/2016-23:45,3829390,10229314,3,9
el01gw02,1A_ETH_1,21/04/2016-00:00,4189390,10701072,3,10
el01gw02,1A_ETH_1,21/04/2016-00:15,4319417,10714292,4,10
el01gw02,1A_ETH_1,21/04/2016-00:30,3952370,10411402,3,9
el01gw02,1A_ETH_1,21/04/2016-00:45,3867465,10440245,3,9
el01gw02,1A_ETH_1,21/04/2016-01:00,4147831,10760472,3,10
el01gw02,1A_ETH_1,21/04/2016-01:15,4161563,10681000,3,10
el01gw02,1A_ETH_1,21/04/2016-01:30,4145068,10506395,3,10
el01gw02,1A_ETH_1,21/04/2016-01:45,4185673,10588578,3,10
el01gw02,1A_ETH_1,21/04/2016-02:00,3891352,9376678,3,8
el01gw02,1A_ETH_1,21/04/2016-02:15,3912769,9024600,3,8
el01gw02,1A_ETH_1,21/04/2016-02:30,4058235,9049061,3,8
el01gw02,1A_ETH_1,21/04/2016-02:45,3973896,9031110,3,8
el01gw02,1A_ETH_1,21/04/2016-03:00,3972489,8969324,3,8
el01gw02,1A_ETH_1,21/04/2016-03:15,4133237,9110090,3,8
el01gw02,1A_ETH_1,21/04/2016-03:30,4137840,8986927,3,8
el01gw02,1A_ETH_1,21/04/2016-03:45,4223515,9101268,4,8
el01gw02,1A_ETH_1,21/04/2016-04:00,4122908,8931704,3,8
el01gw02,1A_ETH_1,21/04/2016-04:15,4103208,9017532,3,8
el01gw02,1A_ETH_1,21/04/2016-04:30,4171014,8998352,3,8
el01gw02,1A_ETH_1,21/04/2016-04:45,4206418,8949195,4,8
el01gw02,1A_ETH_1,21/04/2016-05:00,4169475,9504790,3,9
el01gw02,1A_ETH_1,21/04/2016-05:15,4341193,9485987,4,9
el01gw02,1A_ETH_1,21/04/2016-05:30,4277282,9153917,4,8
el01gw02,1A_ETH_1,21/04/2016-05:45,4134988,9005186,3,8
el01gw02,1A_ETH_1,21/04/2016-06:00,4310275,9100826,4,8
el01gw02,1A_ETH_1,21/04/2016-06:15,4141046,9004460,3,8
el01gw02,1A_ETH_1,21/04/2016-06:30,2034200,8266527,1,7
el01gw02,1A_ETH_1,21/04/2016-06:45,1653198,8194357,1,7
el01gw02,1A_ETH_1,21/04/2016-07:00,1829671,8216131,1,7
el01gw02,1A_ETH_1,21/04/2016-07:15,1839173,8295182,1,7
el01gw02,1A_ETH_1,21/04/2016-07:30,2029190,8442115,1,8
el01gw02,1A_ETH_1,21/04/2016-07:45,2154564,8340171,2,7
el01gw02,1A_ETH_1,21/04/2016-08:00,2627647,8542216,2,8
el01gw02,1A_ETH_1,21/04/2016-08:15,2304439,8372630,2,7
