name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,09/03/2016-01:15,342725,327140,0,0
el01gw02,1A_ETH_1,09/03/2016-01:30,363661,340214,0,0
el01gw02,1A_ETH_1,09/03/2016-01:45,380105,346193,0,0
el01gw02,1A_ETH_1,09/03/2016-02:00,379490,351855,0,0
el01gw02,1A_ETH_1,09/03/2016-02:15,389655,340255,0,0
el01gw02,1A_ETH_1,09/03/2016-02:30,371716,292517,0,0
el01gw02,1A_ETH_1,09/03/2016-02:45,379409,290023,0,0
el01gw02,1A_ETH_1,09/03/2016-03:00,387019,295476,0,0
el01gw02,1A_ETH_1,09/03/2016-03:15,355504,284358,0,0
el01gw02,1A_ETH_1,09/03/2016-03:30,334810,278796,0,0
el01gw02,1A_ETH_1,09/03/2016-03:45,363205,287257,0,0
el01gw02,1A_ETH_1,09/03/2016-04:00,389050,351471,0,0
el01gw02,1A_ETH_1,09/03/2016-04:15,361320,317667,0,0
el01gw02,1A_ETH_1,09/03/2016-04:30,359004,292127,0,0
el01gw02,1A_ETH_1,09/03/2016-04:45,380724,296675,0,0
el01gw02,1A_ETH_1,09/03/2016-05:00,370970,304368,0,0
el01gw02,1A_ETH_1,09/03/2016-05:15,386020,305297,0,0
el01gw02,1A_ETH_1,09/03/2016-05:30,405081,320334,0,0
el01gw02,1A_ETH_1,09/03/2016-05:45,420431,332992,0,0
el01gw02,1A_ETH_1,09/03/2016-06:00,471571,369066,0,0
el01gw02,1A_ETH_1,09/03/2016-06:15,486980,378554,0,0
el01gw02,1A_ETH_1,09/03/2016-06:30,527957,402416,0,0
el01gw02,1A_ETH_1,09/03/2016-06:45,625483,453329,0,0
el01gw02,1A_ETH_1,09/03/2016-07:00,656871,519043,0,0
el01gw02,1A_ETH_1,09/03/2016-07:15,671844,481939,0,0
el01gw02,1A_ETH_1,09/03/2016-07:30,701134,506779,0,0
el01gw02,1A_ETH_1,09/03/2016-07:45,756995,530724,0,0
el01gw02,1A_ETH_1,09/03/2016-08:00,895183,628898,0,0
el01gw02,1A_ETH_1,09/03/2016-08:15,953834,714168,0,0
el01gw02,1A_ETH_1,09/03/2016-08:30,1045202,813353,0,0
el01gw02,1A_ETH_1,09/03/2016-08:45,1107963,819792,1,0
el01gw02,1A_ETH_1,09/03/2016-09:00,1130745,869279,1,0
el01gw02,1A_ETH_1,09/03/2016-09:15,1229988,834498,1,0
el01gw02,1A_ETH_1,09/03/2016-09:30,1188176,814973,1,0
el01gw02,1A_ETH_1,09/03/2016-09:45,1208309,908707,1,0
el01gw02,1A_ETH_1,09/03/2016-10:00,1221604,878699,1,0
el01gw02,1A_ETH_1,09/03/2016-10:15,1183937,837161,1,0
el01gw02,1A_ETH_1,09/03/2016-10:30,1144548,802379,1,0
el01gw02,1A_ETH_1,09/03/2016-10:45,1256658,860251,1,0
el01gw02,1A_ETH_1,09/03/2016-11:00,1176795,842548,1,0
el01gw02,1A_ETH_1,09/03/2016-11:15,1202592,855573,1,0
el01gw02,1A_ETH_1,09/03/2016-11:30,1120230,871205,1,0
el01gw02,1A_ETH_1,09/03/2016-11:45,1169062,908502,1,0
el01gw02,1A_ETH_1,09/03/2016-12:00,1177287,839091,1,0
el01gw02,1A_ETH_1,09/03/2016-12:15,1092151,828199,1,0
