name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn09,01/04/2016-01:00,29.9603,0.47,1447,493,313,0,102,15517,27168
el01cn09,01/04/2016-01:05,29.9603,1.15,1443,395,245,0,96,15521,26400
el01cn09,01/04/2016-01:10,29.9603,0.75,1441,646,177,0,93,15516,26304
el01cn09,01/04/2016-01:15,29.9603,0.89,1442,545,307,0,113,15522,27072
el01cn09,01/04/2016-01:20,29.9603,4.47,1456,778,285,0,98,15524,26496
el01cn09,01/04/2016-01:25,29.9603,2.62,1435,630,266,0,104,15514,26208
el01cn09,01/04/2016-01:30,29.9603,1.81,1450,622,197,0,117,15512,25632
el01cn09,01/04/2016-01:35,29.9603,2.28,1448,690,218,0,88,15517,24960
el01cn09,01/04/2016-01:40,29.9603,0.78,1439,677,226,0,96,15503,25440
el01cn09,01/04/2016-01:45,29.9603,2.24,1450,495,239,0,113,15494,26496
el01cn09,01/04/2016-01:50,29.9603,2.08,1457,679,312,0,91,15490,26304
el01cn09,01/04/2016-01:55,29.9603,0.95,1447,611,272,0,104,15485,25536
el01cn09,01/04/2016-02:00,29.9603,1.49,1417,822,238,0,143,15479,25728
el01cn09,01/04/2016-02:05,29.9603,3.22,1427,838,219,0,99,15486,25632
el01cn09,01/04/2016-02:10,29.9603,1.14,1422,574,230,0,113,15477,25536
el01cn09,01/04/2016-02:15,29.9603,0.70,1446,715,262,0,119,15499,25440
el01cn09,01/04/2016-02:20,29.9603,4.14,1450,464,236,2,91,15555,24480
el01cn09,01/04/2016-02:25,29.9603,9.89,1450,703,214,0,114,15519,25344
el01cn09,01/04/2016-02:30,29.9603,2.32,1449,745,150,0,124,15517,24768
el01cn09,01/04/2016-02:35,29.9603,2.23,1456,739,316,0,93,15524,25248
el01cn09,01/04/2016-02:40,29.9603,0.56,1452,710,260,0,105,15516,25248
el01cn09,01/04/2016-02:45,29.9603,1.18,1451,564,207,0,110,15523,25152
el01cn09,01/04/2016-02:50,29.9603,1.84,1460,724,172,0,101,15522,25152
el01cn09,01/04/2016-02:55,29.9603,1.08,1448,505,305,0,102,15523,25728
el01cn09,01/04/2016-03:00,29.9603,0.48,1440,680,163,0,110,15518,25536
el01cn09,01/04/2016-03:05,29.9603,2.00,1452,1133,209,0,106,15530,25536
el01cn09,01/04/2016-03:10,29.9603,1.05,1447,593,261,0,107,15520,25536
el01cn09,01/04/2016-03:15,29.9603,0.46,1445,1002,250,0,113,15524,25824
el01cn09,01/04/2016-03:20,30.1587,5.38,1460,1156,163,0,111,15557,25248
el01cn09,01/04/2016-03:25,29.9603,1.14,1450,857,228,0,116,15528,25152
el01cn09,01/04/2016-03:30,29.9603,0.80,1453,979,132,0,106,15524,24768
el01cn09,01/04/2016-03:35,29.9603,1.28,1450,913,168,0,117,15532,25248
el01cn09,01/04/2016-03:40,29.9603,3.86,1450,685,292,0,100,15523,25152
el01cn09,01/04/2016-03:45,29.9603,0.47,1438,549,242,0,108,15527,25344
el01cn09,01/04/2016-03:50,29.9603,1.32,1454,631,255,0,119,15528,25440
el01cn09,01/04/2016-03:55,29.9603,0.93,1453,1000,232,0,103,15529,25248
el01cn09,01/04/2016-04:00,29.9603,2.43,1457,1084,220,0,102,15524,25440
el01cn09,01/04/2016-04:05,30.1587,1.62,1456,595,237,0,107,15518,25536
el01cn09,01/04/2016-04:10,30.1587,0.81,1450,604,243,0,101,15510,25056
el01cn09,01/04/2016-04:15,30.1587,1.37,1455,478,269,0,93,15515,25536
el01cn09,01/04/2016-04:20,30.1587,1.22,1449,756,222,0,116,15515,25056
el01cn09,01/04/2016-04:25,29.9603,0.72,1453,899,215,0,100,15516,25536
el01cn09,01/04/2016-04:30,29.9603,1.19,1451,911,251,0,106,15514,26016
el01cn09,01/04/2016-04:35,30.1587,1.00,1457,1048,150,0,123,15521,25248
el01cn09,01/04/2016-04:40,30.1587,0.85,1458,758,212,0,96,15512,25248
el01cn09,01/04/2016-04:45,29.9603,0.63,1457,871,152,0,100,15518,25536
el01cn09,01/04/2016-04:50,30.1587,1.15,1446,471,277,0,116,15520,26112
el01cn09,01/04/2016-04:55,29.9603,0.75,1448,717,286,0,89,15519,25728
el01cn09,01/04/2016-05:00,30.1587,1.49,1436,828,227,0,108,15515,26208
el01cn09,01/04/2016-05:05,29.9603,1.99,1442,679,236,0,108,15525,26496
el01cn09,01/04/2016-05:10,30.1587,0.71,1454,601,239,0,96,15517,26304
el01cn09,01/04/2016-05:15,30.1587,1.23,1469,544,276,0,103,15521,25824
el01cn09,01/04/2016-05:20,30.1587,1.91,1464,566,181,0,113,15517,25440
el01cn09,01/04/2016-05:25,30.1587,0.52,1452,924,254,0,104,15521,25920
el01cn09,01/04/2016-05:30,30.1587,0.49,1448,947,197,0,102,15520,25632
el01cn09,01/04/2016-05:35,29.9603,2.78,1467,901,218,1,108,15526,26208
el01cn09,01/04/2016-05:40,30.1587,0.75,1450,905,146,0,110,15519,25152
el01cn09,01/04/2016-05:45,30.1587,1.59,1463,836,259,0,102,15525,26016
el01cn09,01/04/2016-05:50,30.1587,2.31,1471,1170,201,0,111,15526,25728
el01cn09,01/04/2016-05:55,29.9603,2.88,1475,731,245,0,103,15527,26784
el01cn09,01/04/2016-06:00,29.9603,2.44,1472,1073,171,0,117,15526,26976
el01cn09,01/04/2016-06:05,29.9603,1.28,1459,1107,158,0,113,15533,27264
el01cn09,01/04/2016-06:10,30.1587,1.04,1467,1153,157,0,117,15524,27072
el01cn09,01/04/2016-06:15,30.1587,2.86,1482,1113,222,0,112,15514,27168
el01cn09,01/04/2016-06:20,30.1587,1.11,1474,1304,170,0,109,15513,26496
el01cn09,01/04/2016-06:25,30.1587,1.05,1481,1411,160,0,128,15515,26496
el01cn09,01/04/2016-06:30,29.9603,1.66,1479,1009,198,0,115,15512,27168
el01cn09,01/04/2016-06:35,29.9603,2.92,1476,1451,131,0,104,15521,28032
el01cn09,01/04/2016-06:40,30.1587,4.79,1474,1294,155,0,127,15512,28032
el01cn09,01/04/2016-06:45,30.1587,1.38,1461,1453,194,0,109,15516,27456
el01cn09,01/04/2016-06:50,29.9603,4.16,1483,1511,133,0,106,15517,27552
el01cn09,01/04/2016-06:55,29.9603,1.12,1477,1523,127,0,124,15517,27360
el01cn09,01/04/2016-07:00,29.9603,1.01,1475,1246,197,0,105,15514,27552
el01cn09,01/04/2016-07:05,29.9603,3.51,1468,1682,160,0,115,15525,27936
el01cn09,01/04/2016-07:10,29.9603,2.85,1481,1447,133,0,125,15517,27552
el01cn09,01/04/2016-07:15,29.9603,4.61,1490,1554,157,0,118,15519,27648
el01cn09,01/04/2016-07:20,29.9603,8.97,1476,1460,121,0,108,15517,28128
el01cn09,01/04/2016-07:25,29.9603,3.73,1478,1792,137,0,122,15520,27936
el01cn09,01/04/2016-07:30,29.9603,3.14,1487,1504,165,0,107,15518,28416
el01cn09,01/04/2016-07:35,30.1587,4.94,1485,1828,95,0,118,15525,28032
el01cn09,01/04/2016-07:40,29.9603,1.67,1489,1705,105,0,115,15517,28128
el01cn09,01/04/2016-07:45,29.9603,0.51,1464,1476,172,1,108,15521,28032
el01cn09,01/04/2016-07:50,29.9603,4.97,1487,1687,187,0,111,15522,27840
el01cn09,01/04/2016-07:55,29.9603,1.62,1468,1979,92,0,117,15522,27744
el01cn09,01/04/2016-08:00,30.1587,7.82,1491,2209,110,0,104,15522,27840
el01cn09,01/04/2016-08:05,29.9603,7.02,1497,2184,132,0,113,15530,27360
el01cn09,01/04/2016-08:10,29.9603,1.30,1486,2028,98,0,115,15519,27456
el01cn09,01/04/2016-08:15,29.9603,2.75,1486,2274,108,0,108,15523,26976
el01cn09,01/04/2016-08:20,29.9603,5.07,1508,2069,145,0,124,15521,27264
el01cn09,01/04/2016-08:25,29.9603,9.04,1500,2166,84,0,110,15525,26880
el01cn09,01/04/2016-08:30,29.9603,5.39,1504,2692,79,0,111,15524,27456
el01cn09,01/04/2016-08:35,30.1587,11.66,1518,2106,135,0,116,15531,27456
el01cn09,01/04/2016-08:40,30.1587,3.90,1489,2078,87,0,106,15522,26688
