name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn12,01/04/2016-01:00,29.7619,3.64,1308,531,267,0,105,14889,24384
el01cn12,01/04/2016-01:05,29.7619,0.76,1283,425,276,0,98,14896,24096
el01cn12,01/04/2016-01:10,29.7619,1.04,1296,492,262,0,92,14888,24480
el01cn12,01/04/2016-01:15,29.7619,1.87,1299,624,279,0,116,14894,24576
el01cn12,01/04/2016-01:20,29.7619,2.65,1302,857,272,0,100,14894,24000
el01cn12,01/04/2016-01:25,29.7619,2.54,1287,625,324,0,108,14896,24384
el01cn12,01/04/2016-01:30,29.7619,3.89,1304,803,170,0,121,14892,23136
el01cn12,01/04/2016-01:35,29.7619,0.54,1299,894,152,0,98,14900,22848
el01cn12,01/04/2016-01:40,29.7619,1.22,1303,865,212,0,106,14893,22944
el01cn12,01/04/2016-01:45,29.7619,0.75,1300,506,249,0,116,14898,23328
el01cn12,01/04/2016-01:50,29.7619,0.43,1295,586,230,0,86,14897,23616
el01cn12,01/04/2016-01:55,29.7619,1.04,1289,581,324,0,102,14898,24288
el01cn12,01/04/2016-02:00,29.7619,0.92,1300,592,213,0,109,14896,23712
el01cn12,01/04/2016-02:05,29.7619,0.72,1308,665,209,0,89,14903,23904
el01cn12,01/04/2016-02:10,29.7619,0.41,1294,592,321,0,139,14899,24480
el01cn12,01/04/2016-02:15,29.7619,0.49,1297,689,224,0,118,14901,22752
el01cn12,01/04/2016-02:20,29.7619,0.50,1295,592,303,1,96,14902,23232
el01cn12,01/04/2016-02:25,29.7619,1.04,1303,768,376,0,113,14904,23520
el01cn12,01/04/2016-02:30,29.7619,0.38,1299,712,228,0,124,14899,23040
el01cn12,01/04/2016-02:35,29.7619,1.40,1300,691,185,0,90,14907,22464
el01cn12,01/04/2016-02:40,29.7619,0.76,1295,687,228,0,103,14899,22464
el01cn12,01/04/2016-02:45,29.7619,1.84,1308,738,301,0,117,14904,23136
el01cn12,01/04/2016-02:50,29.7619,3.07,1305,636,234,0,99,14903,22944
el01cn12,01/04/2016-02:55,29.7619,3.01,1295,714,263,0,111,14887,22752
el01cn12,01/04/2016-03:00,29.7619,0.95,1301,720,297,0,114,14883,23040
el01cn12,01/04/2016-03:05,29.7619,0.73,1301,1260,214,0,107,14891,22752
el01cn12,01/04/2016-03:10,29.7619,0.82,1303,669,269,0,131,14883,23136
el01cn12,01/04/2016-03:15,29.7619,1.59,1305,969,213,0,117,14890,22368
el01cn12,01/04/2016-03:20,29.7619,0.62,1301,1013,232,0,108,14889,22560
el01cn12,01/04/2016-03:25,29.7619,2.83,1311,757,264,0,111,14891,23040
el01cn12,01/04/2016-03:30,29.7619,0.37,1301,878,221,0,99,14887,23232
el01cn12,01/04/2016-03:35,29.7619,0.79,1300,1110,229,0,120,14895,23616
el01cn12,01/04/2016-03:40,29.7619,0.81,1296,706,260,0,101,14914,24384
el01cn12,01/04/2016-03:45,29.7619,0.47,1287,604,226,0,108,14893,23040
el01cn12,01/04/2016-03:50,29.7619,1.03,1297,633,312,0,105,14891,23520
el01cn12,01/04/2016-03:55,29.7619,2.35,1306,971,242,0,99,14898,23232
el01cn12,01/04/2016-04:00,29.7619,0.64,1312,905,229,0,99,14890,23040
el01cn12,01/04/2016-04:05,29.7619,1.00,1301,660,256,0,112,14899,23232
el01cn12,01/04/2016-04:10,29.7619,0.65,1297,766,200,0,125,14891,22848
el01cn12,01/04/2016-04:15,29.7619,5.88,1306,515,207,0,97,14897,23328
el01cn12,01/04/2016-04:20,29.7619,0.82,1303,836,270,0,115,14897,22752
el01cn12,01/04/2016-04:25,29.7619,0.83,1305,783,220,0,101,14899,23136
el01cn12,01/04/2016-04:30,29.7619,0.65,1300,904,178,0,106,14896,23136
el01cn12,01/04/2016-04:35,29.7619,1.42,1312,992,201,0,120,14905,23040
el01cn12,01/04/2016-04:40,29.7619,0.76,1312,753,200,1,95,14897,23520
el01cn12,01/04/2016-04:45,29.7619,2.43,1326,1025,280,0,105,14903,23712
el01cn12,01/04/2016-04:50,29.7619,0.66,1305,461,270,0,112,14904,23424
el01cn12,01/04/2016-04:55,29.7619,3.34,1303,679,178,0,89,14905,23424
el01cn12,01/04/2016-05:00,29.7619,0.78,1305,782,271,0,105,14902,24288
el01cn12,01/04/2016-05:05,29.7619,0.52,1290,554,202,0,112,14911,23904
el01cn12,01/04/2016-05:10,29.7619,2.79,1306,667,242,0,99,14904,24480
el01cn12,01/04/2016-05:15,29.7619,2.07,1305,504,274,0,103,14908,24192
el01cn12,01/04/2016-05:20,29.7619,0.94,1300,684,237,0,117,14907,23520
el01cn12,01/04/2016-05:25,29.7619,1.17,1303,770,267,0,100,14886,24288
