name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn05,01/04/2016-01:00,42.8571,3.85,990,94,1,0,1,15145,27648
el01cn05,01/04/2016-01:05,42.8571,4.41,993,59,1,0,1,15107,27456
el01cn05,01/04/2016-01:10,42.8571,3.88,993,44,1,0,2,15113,27648
el01cn05,01/04/2016-01:15,42.8571,4.11,999,58,2,0,0,15107,27584
el01cn05,01/04/2016-01:20,42.8571,4.44,993,46,1,0,2,15118,27520
el01cn05,01/04/2016-01:25,42.8571,4.24,996,54,1,0,0,15106,27840
el01cn05,01/04/2016-01:30,42.8571,4.43,994,63,1,0,2,15115,27840
el01cn05,01/04/2016-01:35,42.8571,5.23,995,45,1,0,1,15110,27584
el01cn05,01/04/2016-01:40,42.8571,4.09,1001,45,1,0,2,15115,27584
el01cn05,01/04/2016-01:45,42.8571,4.95,997,54,1,0,1,15110,27712
el01cn05,01/04/2016-01:50,42.8571,4.75,995,49,1,0,1,15121,27392
el01cn05,01/04/2016-01:55,42.8571,4.29,997,52,1,0,1,15111,27456
el01cn05,01/04/2016-02:00,43.254,3.94,988,44,1,0,4,15120,27712
el01cn05,01/04/2016-02:05,43.254,4.76,1000,44,1,0,2,15118,27584
el01cn05,01/04/2016-02:10,42.8571,4.57,1003,26,1,0,1,15120,27776
el01cn05,01/04/2016-02:15,42.8571,4.01,996,36,1,0,0,15115,27584
el01cn05,01/04/2016-02:20,43.254,4.54,993,31,1,0,3,15126,27648
el01cn05,01/04/2016-02:25,43.254,4.02,997,42,1,0,2,15117,27648
el01cn05,01/04/2016-02:30,43.254,7.12,995,46,1,0,0,15187,27712
el01cn05,01/04/2016-02:35,42.8571,4.02,999,71,1,0,2,15121,27392
el01cn05,01/04/2016-02:40,42.8571,3.58,996,29,1,0,0,15126,27776
el01cn05,01/04/2016-02:45,42.8571,3.63,1000,53,1,0,0,15119,27648
el01cn05,01/04/2016-02:50,42.8571,4.16,1004,31,1,0,1,15132,27392
el01cn05,01/04/2016-02:55,42.8571,4.08,995,26,1,0,0,15119,27520
el01cn05,01/04/2016-03:00,42.8571,4.57,997,41,1,0,0,15163,27648
el01cn05,01/04/2016-03:05,42.8571,4.97,996,40,1,0,1,15125,27520
el01cn05,01/04/2016-03:10,42.8571,4.09,1001,30,1,0,1,15130,27648
el01cn05,01/04/2016-03:15,42.8571,3.80,998,37,1,0,0,15123,27840
el01cn05,01/04/2016-03:20,42.8571,5.38,995,30,1,0,1,15135,27584
el01cn05,01/04/2016-03:25,42.8571,4.10,998,39,1,0,0,15124,27776
el01cn05,01/04/2016-03:30,42.8571,4.04,993,51,1,0,1,15168,27712
el01cn05,01/04/2016-03:35,42.8571,4.49,999,25,1,0,0,15126,27392
el01cn05,01/04/2016-03:40,42.8571,3.69,1000,26,1,0,1,15130,27520
el01cn05,01/04/2016-03:45,42.8571,3.93,999,51,1,0,2,15126,27456
el01cn05,01/04/2016-03:50,42.8571,4.36,997,27,1,0,0,15134,27648
el01cn05,01/04/2016-03:55,42.8571,4.39,997,26,1,0,1,15125,27776
el01cn05,01/04/2016-04:00,42.8571,4.60,993,37,1,0,0,15127,27584
el01cn05,01/04/2016-04:05,42.8571,3.94,994,32,1,0,0,15092,27456
el01cn05,01/04/2016-04:10,42.8571,4.00,991,26,1,0,0,15094,27904
el01cn05,01/04/2016-04:15,42.8571,3.65,985,39,1,0,2,15087,27712
el01cn05,01/04/2016-04:20,42.8571,4.21,983,26,1,0,0,15100,27584
el01cn05,01/04/2016-04:25,42.8571,3.79,985,38,1,0,0,15090,27712
el01cn05,01/04/2016-04:30,42.8571,3.93,985,45,1,0,0,15100,27776
el01cn05,01/04/2016-04:35,42.8571,4.70,985,26,1,0,0,15097,27456
el01cn05,01/04/2016-04:40,42.8571,3.47,990,28,1,0,0,15102,27904
el01cn05,01/04/2016-04:45,42.8571,3.80,988,47,1,0,0,15096,27840
el01cn05,01/04/2016-04:50,42.8571,4.51,986,27,1,0,2,15107,27584
el01cn05,01/04/2016-04:55,42.8571,3.96,986,28,1,0,1,15097,27584
el01cn05,01/04/2016-05:00,42.8571,4.97,987,42,1,0,3,15141,27648
el01cn05,01/04/2016-05:05,42.8571,4.71,989,42,1,0,0,15102,27584
el01cn05,01/04/2016-05:10,42.8571,4.40,990,27,1,0,1,15109,27648
el01cn05,01/04/2016-05:15,42.8571,3.83,989,51,1,0,2,15103,27648
el01cn05,01/04/2016-05:20,42.8571,4.07,991,27,1,0,0,15112,27520
el01cn05,01/04/2016-05:25,42.8571,3.97,991,47,1,0,1,15103,27584
el01cn05,01/04/2016-05:30,42.8571,3.93,990,51,1,0,2,15150,27776
el01cn05,01/04/2016-05:35,42.8571,4.85,988,27,1,0,0,15108,27648
el01cn05,01/04/2016-05:40,42.8571,3.86,992,28,1,0,1,15114,28032
el01cn05,01/04/2016-05:45,42.8571,3.61,989,55,1,0,1,15108,27904
el01cn05,01/04/2016-05:50,42.8571,3.88,995,30,1,0,1,15121,27648
el01cn05,01/04/2016-05:55,42.8571,3.79,993,27,1,0,1,15109,27712
el01cn05,01/04/2016-06:00,42.8571,3.90,995,44,1,0,0,15120,27968
el01cn05,01/04/2016-06:05,42.8571,3.83,999,46,1,0,1,15118,27584
el01cn05,01/04/2016-06:10,42.8571,4.54,994,35,1,0,3,15120,27968
el01cn05,01/04/2016-06:15,42.8571,3.57,991,39,1,0,0,15116,28032
el01cn05,01/04/2016-06:20,42.8571,5.23,1003,35,1,0,1,15125,27904
el01cn05,01/04/2016-06:25,42.8571,4.07,998,35,1,0,1,15116,27712
el01cn05,01/04/2016-06:30,42.8571,3.63,996,53,1,0,3,15160,27904
el01cn05,01/04/2016-06:35,42.8571,5.36,1006,30,1,0,0,15122,27840
