name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn08,01/04/2016-01:00,48.4127,10.97,1226,115,1,0,0,5089,24576
el01cn08,01/04/2016-01:05,48.4127,3.88,1224,109,1,0,0,5005,23616
el01cn08,01/04/2016-01:10,48.4127,9.76,1226,111,1,0,0,5088,24384
el01cn08,01/04/2016-01:15,48.4127,5.09,1224,101,1,0,0,5008,23680
el01cn08,01/04/2016-01:20,48.4127,10.02,1224,119,1,0,0,5088,24000
el01cn08,01/04/2016-01:25,48.4127,4.18,1224,121,1,0,0,5006,23296
el01cn08,01/04/2016-01:30,48.4127,11.43,1226,115,1,0,0,5093,24000
el01cn08,01/04/2016-01:35,48.4127,3.57,1224,89,1,0,0,5002,23552
el01cn08,01/04/2016-01:40,48.4127,9.89,1226,132,1,0,0,5088,24384
el01cn08,01/04/2016-01:45,48.4127,13.14,1224,113,1,0,0,5012,23616
el01cn08,01/04/2016-01:50,48.4127,9.99,1226,105,1,0,0,5090,24128
el01cn08,01/04/2016-01:55,48.4127,6.24,1224,124,1,0,0,5006,23680
el01cn08,01/04/2016-02:00,48.4127,11.49,1226,118,1,0,0,5095,24128
el01cn08,01/04/2016-02:05,48.4127,3.03,1224,110,1,0,0,5007,23616
el01cn08,01/04/2016-02:10,48.4127,10.22,1227,128,1,0,0,5096,23936
el01cn08,01/04/2016-02:15,48.4127,5.53,1224,110,1,0,0,5012,23680
el01cn08,01/04/2016-02:20,48.4127,10.85,1226,105,1,0,0,5092,24192
el01cn08,01/04/2016-02:25,48.4127,4.45,1224,112,1,0,0,5011,23808
el01cn08,01/04/2016-02:30,48.4127,9.75,1224,117,1,0,0,5097,23680
el01cn08,01/04/2016-02:35,48.4127,3.64,1224,92,1,0,0,5009,23296
el01cn08,01/04/2016-02:40,48.4127,13.49,1224,116,1,0,0,5095,24128
el01cn08,01/04/2016-02:45,48.4127,4.77,1224,148,1,0,0,5016,23744
el01cn08,01/04/2016-02:50,48.4127,9.80,1226,94,1,0,0,5096,24000
el01cn08,01/04/2016-02:55,48.4127,4.28,1224,113,1,0,0,5015,23744
el01cn08,01/04/2016-03:00,48.4127,8.56,1224,167,1,0,0,5102,23936
el01cn08,01/04/2016-03:05,48.4127,6.52,1221,115,1,0,0,5123,23808
el01cn08,01/04/2016-03:10,48.4127,13.47,1225,112,1,0,0,5112,24704
el01cn08,01/04/2016-03:15,48.4127,9.63,1225,111,1,0,0,5034,23936
el01cn08,01/04/2016-03:20,48.0159,17.23,1226,111,1,0,0,5075,24320
el01cn08,01/04/2016-03:25,48.0159,4.42,1224,112,1,0,0,4991,23744
el01cn08,01/04/2016-03:30,48.0159,9.38,1224,99,1,0,0,5076,24000
el01cn08,01/04/2016-03:35,48.0159,5.17,1224,88,1,0,0,4988,23808
el01cn08,01/04/2016-03:40,48.0159,9.77,1224,184,1,0,0,5073,24448
el01cn08,01/04/2016-03:45,48.0159,5.75,1224,104,1,0,0,4999,23744
el01cn08,01/04/2016-03:50,48.0159,11.28,1227,108,1,0,0,5074,24384
el01cn08,01/04/2016-03:55,48.0159,4.54,1224,153,1,0,0,4992,23680
el01cn08,01/04/2016-04:00,48.0159,10.50,1226,106,1,0,0,5084,24192
el01cn08,01/04/2016-04:05,48.0159,7.54,1220,120,1,0,0,4995,23680
el01cn08,01/04/2016-04:10,48.0159,10.04,1226,112,1,0,0,5076,24384
el01cn08,01/04/2016-04:15,48.0159,25.80,1224,95,1,0,0,4998,23552
el01cn08,01/04/2016-04:20,48.0159,11.61,1226,106,1,0,0,5077,24384
el01cn08,01/04/2016-04:25,48.0159,2.87,1224,143,1,0,0,4998,23680
el01cn08,01/04/2016-04:30,48.0159,10.37,1212,116,1,0,0,5085,24448
el01cn08,01/04/2016-04:35,48.0159,2.61,1224,90,1,0,0,4996,23552
el01cn08,01/04/2016-04:40,48.0159,7.91,1226,141,1,0,0,5080,24576
el01cn08,01/04/2016-04:45,48.0159,5.60,1224,101,1,0,0,5005,23488
el01cn08,01/04/2016-04:50,48.0159,9.11,1226,101,1,0,0,5081,23936
el01cn08,01/04/2016-04:55,48.0159,3.57,1224,106,1,0,0,5000,23744
el01cn08,01/04/2016-05:00,48.0159,10.51,1226,109,1,0,0,5087,24320
el01cn08,01/04/2016-05:05,48.0159,2.73,1224,110,1,0,0,5001,23680
el01cn08,01/04/2016-05:10,48.0159,10.44,1224,125,1,0,0,5083,24448
el01cn08,01/04/2016-05:15,48.0159,6.69,1222,110,1,0,0,5008,23424
el01cn08,01/04/2016-05:20,48.0159,9.56,1224,111,1,0,0,5086,24064
el01cn08,01/04/2016-05:25,48.0159,4.03,1224,137,1,0,0,5004,23616
el01cn08,01/04/2016-05:30,48.0159,8.98,1224,103,1,0,0,5090,23872
