name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn15,01/04/2016-01:00,30.3571,0.96,1416,487,249,0,104,15282,24768
el01cn15,01/04/2016-01:05,30.3571,0.98,1415,360,271,0,96,15276,25248
el01cn15,01/04/2016-01:10,30.3571,3.28,1420,639,171,0,97,15283,25152
el01cn15,01/04/2016-01:15,30.3571,1.45,1432,578,281,0,116,15279,25440
el01cn15,01/04/2016-01:20,30.3571,2.30,1428,849,109,0,99,15278,24096
el01cn15,01/04/2016-01:25,30.3571,2.87,1412,642,221,0,106,15254,24096
el01cn15,01/04/2016-01:30,30.3571,5.92,1379,587,241,0,163,15244,23616
el01cn15,01/04/2016-01:35,30.3571,1.04,1379,583,187,0,84,15229,23328
el01cn15,01/04/2016-01:40,30.3571,3.77,1390,639,227,0,93,15236,24096
el01cn15,01/04/2016-01:45,30.3571,1.32,1406,507,300,0,115,15229,23904
el01cn15,01/04/2016-01:50,30.3571,1.78,1407,625,242,0,90,15232,23808
el01cn15,01/04/2016-01:55,30.3571,1.37,1404,528,204,0,101,15225,24096
el01cn15,01/04/2016-02:00,30.3571,2.89,1359,771,224,0,169,15229,24096
el01cn15,01/04/2016-02:05,30.3571,1.53,1364,805,221,0,96,15219,24480
el01cn15,01/04/2016-02:10,30.3571,1.23,1373,631,227,0,135,15231,23808
el01cn15,01/04/2016-02:15,30.3571,1.95,1407,661,341,0,116,15251,24096
el01cn15,01/04/2016-02:20,30.3571,1.36,1426,442,307,1,92,15282,23520
el01cn15,01/04/2016-02:25,30.3571,1.92,1419,508,218,0,104,15301,23328
el01cn15,01/04/2016-02:30,30.3571,1.26,1430,815,197,0,126,15300,23136
el01cn15,01/04/2016-02:35,30.3571,1.55,1415,738,239,0,96,15293,23520
el01cn15,01/04/2016-02:40,30.3571,1.32,1421,577,277,0,100,15274,23712
el01cn15,01/04/2016-02:45,30.3571,1.23,1433,635,201,0,117,15270,22848
el01cn15,01/04/2016-02:50,30.3571,3.90,1431,669,318,0,102,15273,23424
el01cn15,01/04/2016-02:55,30.3571,1.28,1424,618,168,0,109,15270,23328
el01cn15,01/04/2016-03:00,30.3571,0.96,1424,689,182,0,111,15279,23808
el01cn15,01/04/2016-03:05,30.3571,1.94,1423,1237,200,0,109,15269,23520
el01cn15,01/04/2016-03:10,30.3571,3.13,1427,503,199,0,108,15276,23520
el01cn15,01/04/2016-03:15,30.3571,0.88,1421,740,232,0,109,15276,23616
el01cn15,01/04/2016-03:20,30.3571,1.38,1424,1113,227,0,111,15279,22944
el01cn15,01/04/2016-03:25,30.3571,1.69,1428,742,293,0,111,15282,23424
el01cn15,01/04/2016-03:30,30.3571,0.89,1422,978,150,0,109,15282,23328
el01cn15,01/04/2016-03:35,30.3571,1.49,1422,830,227,0,111,15275,23904
el01cn15,01/04/2016-03:40,30.3571,2.28,1428,703,231,0,106,15283,23616
el01cn15,01/04/2016-03:45,30.3571,1.16,1412,630,214,0,110,15278,23520
el01cn15,01/04/2016-03:50,30.3571,3.28,1433,618,292,0,116,15281,23328
el01cn15,01/04/2016-03:55,30.3571,3.98,1426,913,266,0,96,15307,23328
el01cn15,01/04/2016-04:00,30.3571,1.29,1432,897,224,0,100,15287,24000
el01cn15,01/04/2016-04:05,30.3571,1.46,1424,586,179,0,107,15277,23424
el01cn15,01/04/2016-04:10,30.3571,1.86,1427,791,280,0,108,15285,23424
el01cn15,01/04/2016-04:15,30.3571,3.54,1426,540,274,0,98,15283,23520
el01cn15,01/04/2016-04:20,30.3571,1.23,1430,1042,223,0,122,15287,23424
el01cn15,01/04/2016-04:25,30.3571,0.87,1425,800,244,0,100,15290,23808
el01cn15,01/04/2016-04:30,30.3571,1.15,1437,902,212,0,105,15290,23904
el01cn15,01/04/2016-04:35,30.3571,0.83,1420,784,219,0,113,15283,24192
el01cn15,01/04/2016-04:40,30.3571,2.85,1432,762,213,0,94,15291,23904
el01cn15,01/04/2016-04:45,30.3571,0.88,1429,948,249,0,103,15286,24384
el01cn15,01/04/2016-04:50,30.3571,1.51,1423,482,218,0,124,15290,24288
el01cn15,01/04/2016-04:55,30.3571,1.16,1424,741,278,0,90,15286,25152
el01cn15,01/04/2016-05:00,30.3571,1.80,1426,679,175,0,99,15295,24000
el01cn15,01/04/2016-05:05,30.3571,0.93,1415,582,189,0,108,15285,24288
el01cn15,01/04/2016-05:10,30.3571,1.28,1422,612,251,0,96,15293,23904
el01cn15,01/04/2016-05:15,30.3571,1.23,1429,546,232,0,106,15272,24192
el01cn15,01/04/2016-05:20,30.3571,1.36,1421,660,235,0,119,15265,24576
el01cn15,01/04/2016-05:25,30.3571,1.32,1427,691,264,0,98,15280,24000
el01cn15,01/04/2016-05:30,30.3571,1.26,1427,1030,190,0,104,15279,24384
el01cn15,01/04/2016-05:35,30.3571,1.81,1448,824,183,0,110,15274,24672
el01cn15,01/04/2016-05:40,30.3571,2.01,1438,927,234,0,109,15280,24096
el01cn15,01/04/2016-05:45,30.3571,1.46,1424,829,212,0,104,15275,24576
el01cn15,01/04/2016-05:50,30.3571,3.36,1439,1098,174,0,109,15278,23808
el01cn15,01/04/2016-05:55,30.3571,1.67,1448,712,255,0,105,15275,24672
el01cn15,01/04/2016-06:00,30.3571,1.95,1452,1057,182,0,115,15283,24672
el01cn15,01/04/2016-06:05,30.3571,1.13,1437,981,150,0,105,15274,25824
el01cn15,01/04/2016-06:10,30.3571,1.60,1441,1187,201,1,116,15283,25344
el01cn15,01/04/2016-06:15,30.3571,1.93,1452,1160,210,0,114,15279,25440
el01cn15,01/04/2016-06:20,30.3571,1.69,1457,1318,149,0,109,15283,25440
el01cn15,01/04/2016-06:25,30.3571,3.02,1453,1312,192,0,132,15285,24960
el01cn15,01/04/2016-06:30,30.3571,4.21,1445,920,172,0,108,15287,25728
el01cn15,01/04/2016-06:35,30.3571,1.90,1456,1380,175,0,102,15280,26400
el01cn15,01/04/2016-06:40,30.3571,1.48,1437,1135,150,0,127,15286,26112
el01cn15,01/04/2016-06:45,30.3571,1.64,1454,1202,201,0,104,15282,25920
el01cn15,01/04/2016-06:50,30.3571,3.59,1472,1427,112,0,107,15286,25920
el01cn15,01/04/2016-06:55,30.3571,1.65,1459,1397,136,0,122,15282,25440
el01cn15,01/04/2016-07:00,30.3571,4.01,1471,1130,176,0,101,15293,25824
el01cn15,01/04/2016-07:05,30.3571,2.97,1469,1582,110,0,113,15282,26208
el01cn15,01/04/2016-07:10,30.3571,3.19,1461,1348,116,0,130,15289,26688
el01cn15,01/04/2016-07:15,30.3571,1.90,1466,1729,143,0,107,15288,26208
el01cn15,01/04/2016-07:20,30.3571,5.41,1469,1629,107,0,115,15290,26016
el01cn15,01/04/2016-07:25,30.3571,1.63,1460,1921,90,0,121,15276,26112
el01cn15,01/04/2016-07:30,30.3571,3.98,1466,1676,138,0,109,15280,26400
el01cn15,01/04/2016-07:35,30.3571,1.37,1454,1991,109,0,114,15270,26208
el01cn15,01/04/2016-07:40,30.3571,4.91,1467,1827,96,0,119,15276,25728
el01cn15,01/04/2016-07:45,30.3571,1.29,1458,1576,160,2,109,15276,26208
el01cn15,01/04/2016-07:50,30.3571,1.76,1444,1777,103,0,115,15277,26016
el01cn15,01/04/2016-07:55,30.3571,1.23,1456,1867,119,0,117,15274,25728
el01cn15,01/04/2016-08:00,30.3571,1.65,1464,2056,152,0,108,15284,26112
el01cn15,01/04/2016-08:05,30.3571,4.57,1495,1979,116,0,114,15271,26208
el01cn15,01/04/2016-08:10,30.3571,2.32,1480,1920,95,0,123,15278,25440
el01cn15,01/04/2016-08:15,30.3571,2.18,1487,2447,171,1,109,15277,25728
el01cn15,01/04/2016-08:20,30.3571,2.57,1497,1897,103,0,114,15281,26016
el01cn15,01/04/2016-08:25,30.3571,2.50,1477,2052,96,0,113,15285,25440
el01cn15,01/04/2016-08:30,30.3571,1.97,1489,2506,147,0,107,15284,25920
el01cn15,01/04/2016-08:35,30.3571,5.48,1491,1996,107,0,115,15277,25536
el01cn15,01/04/2016-08:40,30.3571,2.47,1498,1963,114,0,102,15288,25440
el01cn15,01/04/2016-08:45,30.3571,9.67,1498,1941,146,0,114,15281,25248
el01cn15,01/04/2016-08:50,30.3571,4.01,1472,2475,149,0,107,15284,24960
el01cn15,01/04/2016-08:55,30.3571,4.62,1472,2691,91,0,112,15282,24672
el01cn15,01/04/2016-09:00,30.3571,4.45,1478,2330,112,1,128,15293,25152
el01cn15,01/04/2016-09:05,30.3571,2.81,1471,1935,146,0,110,15282,25632
el01cn15,01/04/2016-09:10,30.3571,2.11,1476,2174,86,0,108,15289,24768
el01cn15,01/04/2016-09:15,30.3571,2.22,1470,2055,87,1,121,15287,25056
el01cn15,01/04/2016-09:20,30.3571,2.43,1466,1966,146,0,98,15290,25248
el01cn15,01/04/2016-09:25,30.3571,2.25,1461,2545,93,0,99,15292,24576
