el01cn01,01/04/2016-06:25,46.8254,0.97,1044,92,1,0,3,15539,31040
el01cn01,01/04/2016-06:30,46.8254,3.35,1042,104,1,0,4,15574,31104
el01cn01,01/04/2016-06:35,46.8254,0.81,1045,87,1,0,3,15555,31296
el01cn01,01/04/2016-06:40,46.8254,0.77,1040,91,1,0,3,15557,31168
el01cn01,01/04/2016-06:45,46.8254,2.98,1047,115,1,0,3,15554,31424
el01cn01,01/04/2016-06:50,46.8254,0.80,1042,79,1,0,3,15566,31040
el01cn01,01/04/2016-06:55,46.8254,0.89,1045,97,1,0,2,15549,31040
el01cn01,01/04/2016-07:00,46.8254,1.17,1050,123,1,0,2,15562,31168
el01cn01,01/04/2016-07:05,46.8254,4.42,1043,88,1,0,4,15551,31040
el01cn01,01/04/2016-07:10,46.8254,2.87,1053,75,1,0,4,15564,30976
el01cn01,01/04/2016-07:15,46.8254,1.83,1051,107,1,0,3,15564,30848
el01cn01,01/04/2016-07:20,46.8254,5.04,1044,109,1,0,1,15559,30976
el01cn01,01/04/2016-07:25,46.8254,1.44,1059,111,1,0,4,15564,31296
el01cn01,01/04/2016-07:30,46.8254,1.35,1061,95,1,0,3,15583,31424
el01cn01,01/04/2016-07:35,46.8254,0.56,1072,89,1,0,6,15565,31488
el01cn01,01/04/2016-07:40,46.8254,1.00,1066,98,1,0,3,15562,31232
el01cn01,01/04/2016-07:45,46.8254,1.63,1049,131,1,0,4,15522,31104
el01cn01,01/04/2016-07:50,46.8254,0.74,1050,80,1,0,3,15560,31616
el01cn01,01/04/2016-07:55,46.8254,3.15,1075,102,1,0,4,15559,31424
el01cn01,01/04/2016-08:00,46.8254,1.25,1071,134,1,0,3,15575,31552
el01cn01,01/04/2016-08:05,46.8254,0.89,1090,158,1,0,22,15582,31360
el01cn01,01/04/2016-08:10,46.8254,1.21,1076,225,1,0,6,15573,31488
el01cn01,01/04/2016-08:15,46.8254,0.94,1060,103,1,0,4,15569,31616
el01cn01,01/04/2016-08:20,46.8254,3.74,1060,106,1,0,8,15570,31680
el01cn01,01/04/2016-08:25,46.8254,1.16,1080,108,1,0,6,15571,31360
el01cn01,01/04/2016-08:30,46.8254,14.08,1087,334,1,0,4,15588,31744
el01cn01,01/04/2016-08:35,46.8254,2.00,1069,115,1,0,5,15583,31488
el01cn01,01/04/2016-08:40,46.8254,4.32,1072,130,1,0,12,15583,31744
el01cn01,01/04/2016-08:45,46.8254,8.34,1078,138,2,0,7,15581,32128
el01cn01,01/04/2016-08:50,46.8254,2.30,1076,98,1,0,11,15568,32000
el01cn01,01/04/2016-08:55,46.8254,3.18,1079,107,1,0,5,15566,31680
el01cn01,01/04/2016-09:00,46.8254,2.43,1091,131,1,0,2,15580,32000
el01cn01,01/04/2016-09:05,46.8254,4.83,1102,115,1,0,6,15561,31808
el01cn01,01/04/2016-09:10,46.8254,4.64,1089,90,1,0,6,15572,31936
el01cn01,01/04/2016-09:15,46.8254,1.66,1079,119,1,0,2,15575,31872
el01cn01,01/04/2016-09:20,46.8254,7.15,1077,115,1,0,5,15583,32000
el01cn01,01/04/2016-09:25,46.8254,2.90,1074,112,1,0,7,15559,31744
el01cn01,01/04/2016-09:30,46.8254,2.27,1084,124,1,0,4,15578,31872
el01cn01,01/04/2016-09:35,46.8254,4.67,1092,99,1,0,3,15567,32000
el01cn01,01/04/2016-09:40,46.8254,1.39,1087,103,1,0,5,15567,31872
el01cn01,01/04/2016-09:45,46.8254,1.19,1082,123,1,0,2,15574,32256
el01cn01,01/04/2016-09:50,46.8254,0.83,1084,89,2,0,5,15562,31808
el01cn01,01/04/2016-09:55,46.8254,1.39,1080,117,1,0,3,15569,32256
el01cn01,01/04/2016-10:00,46.8254,1.93,1081,132,1,0,4,15565,32192
el01cn01,01/04/2016-10:05,46.8254,1.93,1087,115,1,0,4,15560,32064
el01cn01,01/04/2016-10:10,46.8254,1.27,1078,89,1,0,4,15565,32192
el01cn01,01/04/2016-10:15,46.8254,1.19,1070,126,1,0,7,15555,29568
el01cn01,01/04/2016-10:20,46.8254,1.55,1082,124,1,0,7,15569,29824
el01cn01,01/04/2016-10:25,46.8254,1.64,1084,112,1,0,7,15555,29696
el01cn01,01/04/2016-10:30,46.8254,1.85,1077,116,1,0,6,15573,30080
el01cn01,01/04/2016-10:35,46.8254,2.62,1074,92,1,0,4,15555,30144
el01cn01,01/04/2016-10:40,46.8254,1.57,1090,114,1,0,7,15561,30272
el01cn01,01/04/2016-10:45,46.8254,1.47,1081,136,1,1,7,15561,29888
el01cn01,01/04/2016-10:50,46.8254,2.52,1097,105,1,0,6,15604,30080
el01cn01,01/04/2016-10:55,46.8254,2.33,1089,117,1,0,6,15559,30208
el01cn01,01/04/2016-11:00,46.8254,1.94,1084,145,1,0,3,15564,30528
el01cn01,01/04/2016-11:05,46.8254,2.50,1076,107,1,0,3,15559,30592
el01cn01,01/04/2016-11:10,46.8254,3.96,1074,83,1,0,4,15565,30592
el01cn01,01/04/2016-11:15,46.8254,1.88,1080,119,1,0,4,15562,30976
el01cn01,01/04/2016-11:20,46.8254,7.10,1079,117,1,0,9,15559,30400
el01cn01,01/04/2016-11:25,46.8254,2.29,1091,107,1,0,8,15555,30464
el01cn01,01/04/2016-11:30,46.8254,2.00,1085,123,1,0,3,15575,30784
el01cn01,01/04/2016-11:35,46.8254,4.01,1090,220,1,0,4,15565,30464
el01cn01,01/04/2016-11:40,46.8254,4.92,1082,141,1,0,8,15565,30912
el01cn01,01/04/2016-11:45,46.4286,1.36,1075,134,1,0,2,15565,30912
el01cn01,01/04/2016-11:50,46.4286,1.79,1073,93,1,0,3,15592,31040
el01cn01,01/04/2016-11:55,46.4286,1.49,1076,106,2,0,4,15553,30592
el01cn01,01/04/2016-12:00,46.4286,2.49,1070,159,1,0,8,15565,30528
el01cn01,01/04/2016-12:05,46.4286,2.95,1086,114,2,0,3,15554,30784
el01cn01,01/04/2016-12:10,46.4286,1.46,1078,81,1,0,3,15556,30784
el01cn01,01/04/2016-12:15,46.4286,1.30,1077,117,2,0,7,15560,31104
el01cn01,01/04/2016-12:20,46.4286,1.19,1079,138,1,0,5,15557,30976
el01cn01,01/04/2016-12:25,46.4286,1.64,1087,129,1,0,6,15553,30848
