name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn07,01/04/2016-01:00,44.8413,9.24,1063,82,1,0,0,16052,26944
el01cn07,01/04/2016-01:05,44.8413,7.11,1072,44,1,0,2,16011,26496
el01cn07,01/04/2016-01:10,44.8413,6.86,1067,35,1,0,1,16017,26880
el01cn07,01/04/2016-01:15,44.8413,7.41,1068,37,1,0,0,16013,26688
el01cn07,01/04/2016-01:20,44.8413,5.51,1065,51,1,0,1,16020,26752
el01cn07,01/04/2016-01:25,44.8413,7.79,1067,43,1,0,1,16017,26624
el01cn07,01/04/2016-01:30,44.8413,9.21,1067,53,1,0,0,16089,26880
el01cn07,01/04/2016-01:35,44.8413,8.36,1057,38,1,0,1,16018,26688
el01cn07,01/04/2016-01:40,44.8413,7.18,1058,42,1,0,2,16012,26944
el01cn07,01/04/2016-01:45,44.8413,7.27,1066,48,1,0,1,16021,26752
el01cn07,01/04/2016-01:50,44.8413,7.53,1059,38,1,0,2,16013,27008
el01cn07,01/04/2016-01:55,44.8413,7.77,1060,36,1,0,1,16016,26944
el01cn07,01/04/2016-02:00,44.8413,7.69,1074,33,1,0,1,16045,27136
el01cn07,01/04/2016-02:05,44.8413,7.10,1060,29,1,0,1,16016,26624
el01cn07,01/04/2016-02:10,44.8413,4.95,1069,17,1,0,0,16014,26816
el01cn07,01/04/2016-02:15,44.8413,7.12,1067,32,1,0,2,16021,26688
el01cn07,01/04/2016-02:20,44.8413,7.17,1067,24,1,0,1,16014,26944
el01cn07,01/04/2016-02:25,44.8413,7.06,1072,23,1,0,1,16019,27008
el01cn07,01/04/2016-02:30,44.8413,9.59,1070,26,1,0,0,16092,26944
el01cn07,01/04/2016-02:35,44.8413,7.90,1064,18,1,0,1,16018,26752
el01cn07,01/04/2016-02:40,44.8413,7.20,1065,23,1,0,1,16012,26688
el01cn07,01/04/2016-02:45,44.8413,7.32,1058,28,1,0,0,16021,26880
el01cn07,01/04/2016-02:50,44.8413,7.23,1063,18,1,0,0,16014,26880
el01cn07,01/04/2016-02:55,44.4444,9.87,1059,17,1,0,1,16068,27136
el01cn07,01/04/2016-03:00,44.4444,11.28,1065,37,1,0,1,16100,27072
el01cn07,01/04/2016-03:05,44.4444,6.70,1061,26,1,0,3,16020,26880
