name,date,mem,cpu,established,timewait,closewait,finw1,finw2,nprocs,nopenf
el01cn04,01/04/2016-01:00,44.0476,8.33,997,82,1,0,2,15324,26432
el01cn04,01/04/2016-01:05,44.0476,8.19,1001,56,1,0,0,15254,26624
el01cn04,01/04/2016-01:10,44.0476,7.60,993,39,1,0,1,15249,26688
el01cn04,01/04/2016-01:15,44.0476,7.10,994,43,1,0,1,15252,26496
el01cn04,01/04/2016-01:20,44.0476,7.55,995,50,1,0,4,15249,24832
el01cn04,01/04/2016-01:25,44.0476,7.34,994,52,1,0,0,15257,25024
el01cn04,01/04/2016-01:30,44.0476,8.03,993,47,1,0,0,15289,24832
el01cn04,01/04/2016-01:35,44.0476,8.33,997,43,1,0,0,15253,24896
el01cn04,01/04/2016-01:40,44.0476,7.12,992,37,1,0,0,15250,24704
el01cn04,01/04/2016-01:45,44.0476,9.44,994,53,1,0,0,15255,24704
el01cn04,01/04/2016-01:50,44.0476,7.05,996,44,1,0,1,15248,24896
el01cn04,01/04/2016-01:55,44.0476,7.61,991,41,1,0,1,15256,24896
el01cn04,01/04/2016-02:00,44.0476,9.65,996,26,1,0,2,15283,24768
el01cn04,01/04/2016-02:05,44.0476,7.12,993,42,1,0,0,15255,24896
el01cn04,01/04/2016-02:10,44.0476,7.22,993,24,1,0,2,15250,24768
el01cn04,01/04/2016-02:15,44.0476,6.90,996,27,1,0,0,15253,24896
el01cn04,01/04/2016-02:20,44.0476,6.92,995,30,1,0,1,15247,24704
el01cn04,01/04/2016-02:25,44.4444,8.28,997,39,1,0,1,15315,24768
el01cn04,01/04/2016-02:30,44.0476,8.34,995,27,1,0,2,15292,24832
el01cn04,01/04/2016-02:35,44.0476,9.54,1001,32,1,0,1,15256,24768
el01cn04,01/04/2016-02:40,44.0476,6.95,995,21,1,0,0,15252,24896
el01cn04,01/04/2016-02:45,44.0476,7.58,998,35,1,0,1,15254,24640
el01cn04,01/04/2016-02:50,44.0476,6.84,1001,32,1,0,2,15246,24960
el01cn04,01/04/2016-02:55,44.0476,7.42,998,20,1,0,2,15255,25216
el01cn04,01/04/2016-03:00,44.0476,11.13,995,23,1,0,1,15317,24896
el01cn04,01/04/2016-03:05,44.0476,7.12,993,47,1,0,2,15255,24960
el01cn04,01/04/2016-03:10,44.0476,8.74,1002,22,1,0,0,15248,24896
el01cn04,01/04/2016-03:15,44.0476,6.99,992,20,1,0,0,15251,24640
el01cn04,01/04/2016-03:20,44.0476,8.69,997,29,1,0,1,15248,24768
el01cn04,01/04/2016-03:25,44.0476,7.25,999,31,1,0,0,15256,24768
el01cn04,01/04/2016-03:30,44.0476,8.78,994,25,1,0,0,15326,25088
el01cn04,01/04/2016-03:35,44.0476,7.17,988,26,1,0,0,15251,24960
el01cn04,01/04/2016-03:40,44.0476,7.21,993,19,1,0,1,15250,24768
el01cn04,01/04/2016-03:45,44.0476,7.06,990,37,1,0,1,15252,24704
el01cn04,01/04/2016-03:50,44.0476,7.58,988,26,1,0,0,15245,25024
el01cn04,01/04/2016-03:55,44.0476,8.77,989,19,1,0,1,15254,24960
el01cn04,01/04/2016-04:00,44.0476,7.92,990,30,1,0,0,15314,24704
el01cn04,01/04/2016-04:05,44.0476,8.36,1002,39,1,0,1,15255,25024
el01cn04,01/04/2016-04:10,44.0476,7.11,994,19,1,0,1,15247,25024
el01cn04,01/04/2016-04:15,44.0476,9.56,989,25,1,0,1,15252,24832
